ri_id,lead_image,ri_name,text_file,n_En,n_Fa,n_Fs,n_Fm,n_Fp,n_Fo3,n_Ca,n_Su,n_Fb,n_St,n_Pr,n_Sa,n_Al,serving_size
1028,20210410_174430_turkey kofte & noodles w pickles k.jpg,turkey kofte & noodles w pickles k,20210410_174430_turkey kofte & noodles w pickles k.txt,74,3.59,0.79,1.08,0.26,0.0,3.95,2.96,1.23,0.17,6.24,0.2,0.0,308
1029,20210430_140030_prawns courgette & bamboo shoot broth.jpg,prawns courgette & bamboo shoot broth,20210430_140030_prawns courgette & bamboo shoot broth.txt,28,1.24,0.36,0.38,0.23,0.0,1.8,1.04,0.43,0.05,2.62,0.61,0.0,550
1030,20210422_210242_lamb chops harissa.jpg,lamb chops harissa,20210422_210242_lamb chops harissa.txt,443,41.09,17.21,17.73,3.41,2.98,0.63,0.17,0.53,0.34,16.3,0.99,0.0,680
1031,20210326_171738_beef kofte burger mix.jpg,beef kofte burger mix,20210326_171738_beef kofte burger mix.txt,139,6.45,2.6,0.2,0.14,0.0,3.43,1.01,1.18,0.12,16.83,1.02,0.0,0
1032,20191225_121442_demi brioche dough.jpg,demi brioche dough,20191225_121442_demi brioche dough.txt,278,12.3,6.8,3.08,0.49,0.0,34.64,4.69,1.64,23.45,7.15,0.85,0.0,0
1033,20200510_191455_chinese turkey wraps.jpg,chinese turkey wraps,20200510_191455_chinese turkey wraps.txt,93,1.78,0.23,0.18,0.19,0.0,3.25,2.61,0.58,0.32,15.14,0.81,0.0,79
1034,20210609_150720_courgette ribbons w grapes & eggs.jpg,courgette ribbons w grapes & eggs,20210609_150720_courgette ribbons w grapes & eggs.txt,72,4.9,0.73,3.32,0.49,0.0,5.13,3.67,1.32,0.01,2.62,0.36,0.0,260
1035,20190315_174649_apple strudel.jpg,apple strudel,20190315_174649_apple strudel.txt,410,21.76,10.52,4.43,2.89,0.0,50.54,30.57,4.1,4.86,5.01,0.56,0.0,0
1036,20190428_185750_seared salmon.jpg,seared salmon,20190428_185750_seared salmon.txt,154,6.26,1.3,1.83,1.51,0.0,0.0,0.0,0.0,0.0,24.34,0.22,0.0,130
1037,20210331_105537_soused cucumber yogurt.jpg,soused cucumber yogurt,20210331_105537_soused cucumber yogurt.txt,72,4.31,2.73,1.05,0.03,0.0,6.24,4.27,0.62,0.45,2.44,0.17,0.0,0
1038,20200704_192203_beef kofte.jpg,beef kofte,20200704_192203_beef kofte.txt,303,21.39,9.26,10.4,0.69,0.0,2.05,0.67,1.05,0.23,26.23,0.34,0.0,57
1039,20210730_150508_seared trout w courgette & prawns.jpg,seared trout w courgette & prawns,20210730_150508_seared trout w courgette & prawns.txt,129,6.75,1.06,3.98,1.18,2.11,3.28,2.75,0.47,0.0,13.67,0.72,0.0,163
1040,20210707_161546_seabass fillet w braised lettuce & broad beans.jpg,seabass fillet w braised lettuce & broad beans,20210707_161546_seabass fillet w braised lettuce & broad beans.txt,120,7.5,1.94,3.77,0.87,0.39,4.14,0.55,1.74,0.0,8.89,0.86,0.0,300
1041,20200611_201030_salmon teriyake broccoli & tomatoes.jpg,salmon teriyake broccoli & tomatoes,20200611_201030_salmon teriyake broccoli & tomatoes.txt,87,2.24,0.5,0.71,0.62,0.0,6.07,3.81,1.24,0.0,11.19,0.91,0.0,335
1042,20190812_155557_lamb chop w beetroot and nectarine salad.jpg,lamb chop w beetroot and nectarine salad,20190812_155557_lamb chop w beetroot and nectarine salad.txt,72,2.5,0.61,0.68,0.22,0.09,7.75,4.4,1.22,0.32,4.92,0.18,0.0,500
1043,20190809_150012_salmon w prawn rainbow salad and balsamic beetroot.jpg,salmon w prawn rainbow salad and balsamic beetroot,20190809_150012_salmon w prawn rainbow salad and balsamic beetroot.txt,73,1.94,0.48,0.64,0.54,0.0,3.36,2.11,0.73,0.19,10.5,0.38,0.0,190
1044,20191211_141659_pecan fruit brownie v1.jpg,pecan fruit brownie v1,20191211_141659_pecan fruit brownie v1.txt,463,31.2,15.09,5.3,2.59,0.0,37.67,33.67,1.75,0.46,5.67,4.12,0.0,0
1045,20200502_134422_o&f veg jelly.jpg,o&f veg jelly,20200502_134422_o&f veg jelly.txt,178,0.15,0.0,0.0,0.0,0.0,43.41,41.73,0.79,0.0,0.42,0.04,0.0,440
1046,20200605_141606_salmon w seafood broccoli.jpg,salmon w seafood broccoli,20200605_141606_salmon w seafood broccoli.txt,76,1.95,0.45,0.46,0.41,0.01,6.78,1.18,1.26,0.98,8.28,0.55,0.0,520
1047,20200508_160652_chinese leaf wrap.jpg,chinese leaf wrap,20200508_160652_chinese leaf wrap.txt,93,3.76,0.36,0.1,0.12,0.0,12.03,6.44,2.22,0.6,3.21,0.58,0.0,74
1048,20190215_184308_prawns w dashi aubergine wakame & spinach.jpg,prawns w dashi aubergine wakame & spinach,20190215_184308_prawns w dashi aubergine wakame & spinach.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,360
1049,20200527_141832_turkey stirfry & viet salad.jpg,turkey stirfry & viet salad,20200527_141832_turkey stirfry & viet salad.txt,75,1.16,0.16,0.07,0.11,0.0,9.25,7.16,1.47,0.34,6.74,0.37,0.0,450
1050,20200521_150323_green leaf feta & cucumber.jpg,green leaf feta & cucumber,20200521_150323_green leaf feta & cucumber.txt,56,2.78,1.81,0.53,0.24,0.0,5.47,3.95,0.86,0.21,2.72,0.8,0.0,384
1051,20210703_125312_low salt roule broth base.jpg,low salt roule broth base,20210703_125312_low salt roule broth base.txt,17,1.15,0.77,0.25,0.04,0.0,0.88,0.33,0.1,0.0,0.73,0.47,0.0,500
1052,20200517_181204_chinese leaf & fishstick broth.jpg,chinese leaf & fishstick broth,20200517_181204_chinese leaf & fishstick broth.txt,38,1.41,0.38,0.01,0.05,0.0,4.11,2.41,0.6,0.02,2.48,1.41,0.0,580
1053,20210729_143052_chicken & spinach stuffing.jpg,chicken & spinach stuffing,20210729_143052_chicken & spinach stuffing.txt,76,2.15,0.53,0.63,0.54,0.0,3.19,1.2,1.2,0.44,11.23,0.69,0.0,0
1054,20190711_142052_red salad.jpg,red salad,20190711_142052_red salad.txt,67,1.87,0.28,0.78,0.41,0.0,10.78,5.67,2.11,0.06,1.78,0.49,0.0,235
1055,20190425_145711_garlic and leek tortilla.jpg,garlic and leek tortilla,20190425_145711_garlic and leek tortilla.txt,128,5.25,1.71,1.57,0.97,0.0,13.39,3.6,1.69,0.63,7.1,1.48,0.0,85
1056,20190410_165122_crispy garlic prawns.jpg,crispy garlic prawns,20190410_165122_crispy garlic prawns.txt,131,3.81,0.48,1.96,0.41,0.0,5.24,0.04,0.22,0.27,17.67,1.88,0.0,0
1057,20200705_173006_garlic flatbread hm dough v2.jpg,garlic flatbread hm dough v2,20200705_173006_garlic flatbread hm dough v2.txt,240,1.16,0.2,0.11,0.0,0.0,49.29,9.28,2.56,38.73,7.85,0.34,0.0,314
1058,20200221_153848_pesto tagliatelle bake.jpg,pesto tagliatelle bake,20200221_153848_pesto tagliatelle bake.txt,152,9.46,4.94,2.87,0.55,0.29,6.35,3.21,1.93,0.01,4.18,0.59,0.0,1500
1059,20190514_153450_leek and veggie samosa soup w coriander.jpg,leek and veggie samosa soup w coriander,20190514_153450_leek and veggie samosa soup w coriander.txt,46,2.15,0.38,0.02,0.04,0.0,6.18,2.15,0.8,0.0,0.9,0.84,0.0,250
1060,20190812_153908_veggie haggis balls.jpg,veggie haggis balls,20190812_153908_veggie haggis balls.txt,220,14.35,2.34,1.03,0.81,0.0,18.33,1.63,2.7,3.08,4.64,1.07,0.0,29
1061,20200224_183701_croquettes & tortilla w dip.jpg,croquettes & tortilla w dip,20200224_183701_croquettes & tortilla w dip.txt,214,11.07,1.92,1.22,0.75,0.02,19.6,3.85,2.06,2.84,8.69,1.18,0.0,153
1062,20190530_140702_citrus mint and honey dressing.jpg,citrus mint and honey dressing,20190530_140702_citrus mint and honey dressing.txt,141,2.72,0.16,0.34,0.23,0.0,29.59,23.2,2.18,0.14,2.39,0.74,0.0,25
1063,20190728_184409_chicken and tomato casserole broth.jpg,chicken and tomato casserole broth,20190728_184409_chicken and tomato casserole broth.txt,71,3.57,0.94,0.81,0.46,0.01,3.79,0.81,0.4,0.28,5.11,0.81,0.25,600
1064,20210817_195226_sausage filled yorkshire pudding w gravy.jpg,sausage filled yorkshire pudding w gravy,20210817_195226_sausage filled yorkshire pudding w gravy.txt,202,13.5,5.78,1.55,0.22,0.0,11.56,1.19,0.94,2.23,8.4,1.24,0.0,786
1065,20191226_223458_aubergine pate w orange & fennel jelly.jpg,aubergine pate w orange & fennel jelly,20191226_223458_aubergine pate w orange & fennel jelly.txt,171,7.71,2.44,1.76,1.57,0.0,23.03,13.91,2.33,1.21,4.46,0.75,0.0,475
1066,20190107_113237_swiss breakfast.jpg,swiss breakfast,20190107_113237_swiss breakfast.txt,132,2.7,1.16,0.45,0.08,0,21.22,11.44,1.68,0.0,4.96,0.09,0,0
1067,20190111_182202_mangetout red pepper and grape salad.jpg,mangetout red pepper and grape salad,20190111_182202_mangetout red pepper and grape salad.txt,53,0.32,0.07,0.0,0.1,0.0,11.42,9.41,1.84,0.27,1.11,0.01,0.0,145
1068,20190620_140430_tomato & lemon basil w avocado.jpg,tomato & lemon basil w avocado,20190620_140430_tomato & lemon basil w avocado.txt,68,4.3,0.58,2.64,0.54,0.0,7.32,4.05,2.74,0.03,1.31,0.39,0.0,594
1069,20200131_115317_turkey & beansprout broth.jpg,turkey & beansprout broth,20200131_115317_turkey & beansprout broth.txt,39,1.38,0.85,0.0,0.03,0.0,2.9,1.55,0.75,0.0,4.28,0.83,0.0,400
1070,20190901_152123_honey onion and cucumber w chilli & lime.jpg,honey onion and cucumber w chilli & lime,20190901_152123_honey onion and cucumber w chilli & lime.txt,55,0.13,0.02,0.01,0.02,0.0,13.2,10.67,0.8,0.26,1.15,0.77,0.0,184
1071,20210812_160137_crab cakes w veggie medley.jpg,crab cakes w veggie medley,20210812_160137_crab cakes w veggie medley.txt,163,9.28,1.49,6.08,1.14,0.07,15.66,2.8,1.65,3.9,5.18,0.89,0.0,525
1072,20210707_155033_broad bean garlic & herb sauce.jpg,broad bean garlic & herb sauce,20210707_155033_broad bean garlic & herb sauce.txt,133,9.58,4.29,3.95,0.72,0.0,8.24,0.22,2.83,0.0,4.03,0.97,0.0,0
1073,20190325_164632_beef and sunchoke and salami broth.jpg,beef and sunchoke and salami broth,20190325_164632_beef and sunchoke and salami broth.txt,22,0.91,0.29,0.3,0.08,0.0,2.53,1.13,0.34,0.02,1.13,0.69,0.0,533
1074,20200512_151732_smoked mackerel & beetroot salad.jpg,smoked mackerel & beetroot salad,20200512_151732_smoked mackerel & beetroot salad.txt,116,7.03,1.22,3.81,1.53,0.0,9.57,6.21,2.43,0.02,4.78,0.31,0.0,223
1075,20190612_170010_chicken and roast cheddar cheese veg.jpg,chicken and roast cheddar cheese veg,20190612_170010_chicken and roast cheddar cheese veg.txt,129,7.15,3.49,2.02,0.62,0.07,4.45,1.43,0.87,0.96,11.43,0.69,0.0,660
1076,20200604_154445_egg & boqueron salad.jpg,egg & boqueron salad,20200604_154445_egg & boqueron salad.txt,107,7.67,0.89,1.25,0.25,0.0,6.05,2.79,1.83,0.02,4.11,0.6,0.0,674
1077,20200722_151122_green fruit salad w rhubarb cubes.jpg,green fruit salad w rhubarb cubes,20200722_151122_green fruit salad w rhubarb cubes.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,213
1078,20190804_181414_chicken and rainbow apple slaw.jpg,chicken and rainbow apple slaw,20190804_181414_chicken and rainbow apple slaw.txt,65,1.58,0.37,0.48,0.35,0.0,5.55,3.13,1.37,0.2,7.19,0.27,0.0,339
1079,20200703_184201_smoked mussel potatoes.jpg,smoked mussel potatoes,20200703_184201_smoked mussel potatoes.txt,115,6.02,1.15,1.02,1.08,0.0,9.02,0.51,0.85,0.0,6.13,0.22,0.0,200
1080,20191115_121840_pecan fruit brownie.jpg,pecan fruit brownie,20191115_121840_pecan fruit brownie.txt,482,31.84,14.36,4.85,2.88,0.0,40.19,35.11,2.14,0.61,5.81,5.16,0.0,500
1081,20201117_231404_yellow wontan wrappers.jpg,yellow wontan wrappers,20201117_231404_yellow wontan wrappers.txt,339,2.89,0.81,0.93,0.78,0.34,66.99,0.46,2.83,8.25,9.89,0.5,0.0,5
1082,20190417_095459_avocado roll.jpg,avocado roll,20190417_095459_avocado roll.txt,146,8.67,1.04,3.47,0.8,0.0,13.59,2.01,2.91,8.22,4.74,0.59,0.0,0
1083,20200325_135551_roast squash carrot & red onion.jpg,roast squash carrot & red onion,20200325_135551_roast squash carrot & red onion.txt,188,10.94,1.49,7.76,1.2,0.0,22.56,8.91,4.9,1.1,2.19,2.09,0.0,127
1084,20190719_142312_cooked linguine w basil & lemon.jpg,cooked linguine w basil & lemon,20190719_142312_cooked linguine w basil & lemon.txt,120,3.21,1.12,1.27,0.19,0.0,1.02,1.31,2.65,0.0,0.06,0.58,0.0,344
1085,20190114_150649_sunset peanut vinaigrette.jpg,sunset peanut vinaigrette,20190114_150649_sunset peanut vinaigrette.txt,90,4.1,0.84,1.94,1.14,0.0,12.8,9.81,0.58,0.38,2.14,0.11,0.0,0
1086,20200603_204117_lamb kofte & salad.jpg,lamb kofte & salad,20200603_204117_lamb kofte & salad.txt,147,7.31,3.52,2.37,0.27,0.0,11.27,6.19,1.41,1.88,8.98,0.74,0.0,354
1087,20200625_224208_kofte & couscous salad sandwich.jpg,kofte & couscous salad sandwich,20200625_224208_kofte & couscous salad sandwich.txt,230,13.49,3.73,1.64,0.24,0.0,18.9,4.3,1.36,1.49,8.26,0.95,0.0,244
1088,20190818_180744_chicken w cabbage and green beans.jpg,chicken w cabbage and green beans,20190818_180744_chicken w cabbage and green beans.txt,97,4.67,1.29,1.79,0.9,0.0,4.22,1.55,1.33,0.75,9.07,0.54,0.0,441
1089,20190630_220736_lemon basil.jpg,lemon basil,20190630_220736_lemon basil.txt,23.0,0.6,0.0,0.1,0.4,0.0,2.7,0.3,1.6,0,3.2,0.0,0,0
1090,20200316_170711_cabbage noodle broth w parsnip.jpg,cabbage noodle broth w parsnip,20200316_170711_cabbage noodle broth w parsnip.txt,40,1.75,0.48,0.24,0.14,0.0,3.98,2.21,1.11,0.07,1.93,1.08,0.0,465
1091,20200531_194441_pork chernoula mini kebabs.jpg,pork chernoula mini kebabs,20200531_194441_pork chernoula mini kebabs.txt,296,18.5,4.75,5.37,2.17,0.0,14.44,3.46,1.62,0.06,17.9,0.76,0.0,140
1092,20200626_223941_drink snacks 20200625.jpg,drink snacks 20200625,20200626_223941_drink snacks 20200625.txt,515,32.88,9.6,10.49,4.39,18.99,43.58,17.88,2.36,11.57,11.68,1.23,0.0,94
1093,20190807_130634_lemon chicken w sage and prunes.jpg,lemon chicken w sage and prunes,20190807_130634_lemon chicken w sage and prunes.txt,128,3.8,1.01,1.09,0.69,0.0,8.03,0.26,0.19,0.54,15.15,0.77,0.0,200
1094,20190528_175333_sushi_platter.jpg,sushi_platter,20190528_175333_sushi_platter.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,412
1095,20200320_205908_cardamom donuts.jpg,cardamom donuts,20200320_205908_cardamom donuts.txt,476,31.66,6.36,5.1,0.83,0.0,41.46,3.09,2.04,0.0,6.08,0.73,0.0,13
1096,20200604_202310_gherkins salad & humous.jpg,gherkins salad & humous,20200604_202310_gherkins salad & humous.txt,127,8.0,0.87,1.93,0.91,0.0,10.5,7.07,1.84,2.22,2.87,1.08,0.0,213
1097,20200522_153819_prawn & green bean stirfry.jpg,prawn & green bean stirfry,20200522_153819_prawn & green bean stirfry.txt,93,3.67,0.32,0.04,0.05,0.0,8.6,6.04,1.84,0.18,6.05,0.99,0.0,300
1098,20200902_094447_snapdragon dressing.jpg,snapdragon dressing,20200902_094447_snapdragon dressing.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,20190718_142246_tiger prawns in tangerine and chilli sauce.jpg,tiger prawns in tangerine and chilli sauce,20190718_142246_tiger prawns in tangerine and chilli sauce.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,105
1100,20200320_200008_pork stew w cardamom dumplings.jpg,pork stew w cardamom dumplings,20200320_200008_pork stew w cardamom dumplings.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1101,20210705_191706_courgette & caramelised fennel salad.jpg,courgette & caramelised fennel salad,20210705_191706_courgette & caramelised fennel salad.txt,57,1.97,0.3,1.21,0.19,0.0,9.24,5.45,1.94,0.0,1.45,0.04,0.0,173
1102,20200511_164033_chinese lettuce & tomato broth.jpg,chinese lettuce & tomato broth,20200511_164033_chinese lettuce & tomato broth.txt,19,0.86,0.34,0.0,0.03,0.0,1.88,1.34,0.57,0.01,0.99,0.99,0.0,0
1103,20200212_151545_water chestnut & courgette pancake w lemon sole.jpg,water chestnut & courgette pancake w lemon sole,20200212_151545_water chestnut & courgette pancake w lemon sole.txt,85,2.0,0.41,0.31,0.25,0.0,10.59,4.36,1.01,0.01,6.06,0.34,0.0,485
1104,20200905_153320_chicken & chorizo w apple & beetroot baguette.jpg,chicken & chorizo w apple & beetroot baguette,20200905_153320_chicken & chorizo w apple & beetroot baguette.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,205
1105,20190806_094502_curried fruit and nut couscous.jpg,curried fruit and nut couscous,20190806_094502_curried fruit and nut couscous.txt,219,6.06,0.63,1.84,1.44,0.0,35.4,14.93,3.98,1.06,5.28,0.34,0.18,186
1106,20190103_170558_chicken beetroot w broccoli and greens.jpg,chicken beetroot w broccoli and greens,20190103_170558_chicken beetroot w broccoli and greens.txt,104,4.84,1.28,1.67,0.93,0,4.79,3.2,1.5,0.02,10.14,0.26,0,428
1107,20210321_203600_cavolo nero cm.jpg,cavolo nero cm,20210321_203600_cavolo nero cm.txt,82,3.97,1.7,0.41,0.26,0.03,5.71,3.86,0.45,1.27,5.37,0.4,0.0,27
1108,20190415_173422_mushroom broth.jpg,mushroom broth,20190415_173422_mushroom broth.txt,22,0.62,0.17,0.0,0.05,0.0,3.42,1.7,0.7,0.0,1.16,0.58,0.0,333
1109,20200515_100829_roasted sunflower & pumpkin seeds.jpg,roasted sunflower & pumpkin seeds,20200515_100829_roasted sunflower & pumpkin seeds.txt,605,45.58,10.52,14.87,16.32,0.0,36.91,1.31,13.5,0.0,19.81,1.27,0.0,0
1110,20200520_163802_salmon w red cabbage & tortilla.jpg,salmon w red cabbage & tortilla,20200520_163802_salmon w red cabbage & tortilla.txt,128,3.97,0.89,0.9,0.66,0.0,10.39,7.13,1.2,0.62,11.88,0.37,0.25,300
1111,20200514_155324_lamb w two salads.jpg,lamb w two salads,20200514_155324_lamb w two salads.txt,104,4.7,1.33,1.69,0.56,0.16,7.62,5.72,1.22,0.07,7.94,0.37,0.0,510
1112,20190912_222311_caramel pear flapjack.jpg,caramel pear flapjack,20190912_222311_caramel pear flapjack.txt,374,14.08,6.72,3.66,2.05,0.0,57.29,36.6,5.0,0.37,6.86,0.39,0.0,47
1113,20190822_174117_fish fingers w ketchup.jpg,fish fingers w ketchup,20190822_174117_fish fingers w ketchup.txt,226,8.51,0.56,0.0,0.0,0.0,24.4,4.73,0.84,0.0,12.33,0.95,0.0,120
1114,20200131_152452_cheese selection 20200131.jpg,cheese selection 20200131,20200131_152452_cheese selection 20200131.txt,360,32.1,21.38,3.75,0.5,0.0,0.6,0.48,0.0,0.0,18.0,1.88,0.0,80
1115,20190508_130056_cucumber tomato mint and basil salad.jpg,cucumber tomato mint and basil salad,20190508_130056_cucumber tomato mint and basil salad.txt,55,1.25,0.14,0.39,0.43,0.0,10.1,4.01,1.28,0.43,1.74,0.4,0.0,247
1116,20190814_152224_roast beef ribeye.jpg,roast beef ribeye,20190814_152224_roast beef ribeye.txt,178,9.12,4.0,3.89,0.33,0.0,0.0,0.0,0.0,0.0,23.9,0.87,0.0,770
1117,20190522_150348_smoked salmon and roast veggies.jpg,smoked salmon and roast veggies,20190522_150348_smoked salmon and roast veggies.txt,102,2.44,0.35,0.51,0.31,4.26,14.19,4.78,2.86,0.27,6.3,0.57,0.0,321
1118,20200703_184231_mixed salad w octopus.jpg,mixed salad w octopus,20200703_184231_mixed salad w octopus.txt,60,0.75,0.16,0.08,0.16,0.0,4.21,1.83,0.82,0.21,8.94,0.58,0.0,430
1119,20191226_223446_orange & fennel jelly.jpg,orange & fennel jelly,20191226_223446_orange & fennel jelly.txt,242,0.44,0.04,0.14,0.05,0.0,55.34,49.34,1.27,0.0,6.62,0.47,0.0,0
1120,20191122_160639_aubergine & apple humous stack.jpg,aubergine & apple humous stack,20191122_160639_aubergine & apple humous stack.txt,115,5.83,0.6,0.74,0.3,0.0,11.81,4.07,4.96,5.42,3.71,0.5,0.0,112
1121,20190307_180030_goats cheese and spinach omelette.jpg,goats cheese and spinach omelette,20190307_180030_goats cheese and spinach omelette.txt,182,13.33,5.28,2.03,1.11,0.0,4.14,2.34,1.2,0.0,11.33,0.51,0.0,60
1122,20190104_175145_aubergine and veg stuffed squid.jpg,aubergine and veg stuffed squid,20190104_175145_aubergine and veg stuffed squid.txt,63,2.0,0.52,0.02,0.21,0,6.45,2.13,1.67,0.38,5.19,0.96,0,150
1123,20200229_210848_beef jalfrezi moussaka.jpg,beef jalfrezi moussaka,20200229_210848_beef jalfrezi moussaka.txt,111,6.98,3.35,1.46,0.28,0.02,6.76,3.97,2.05,0.25,5.59,0.55,0.0,3900
1124,20190523_140630_pea soup lite and toast.jpg,pea soup lite and toast,20190523_140630_pea soup lite and toast.txt,79,2.91,0.85,1.27,0.17,0.0,8.86,4.02,1.88,1.16,3.65,0.58,0.0,441
1125,20190802_152850_seaweed and mange tout salad w apple.jpg,seaweed and mange tout salad w apple,20190802_152850_seaweed and mange tout salad w apple.txt,52,0.35,0.02,0.0,0.01,0.0,13.83,6.22,0.41,0.31,2.26,1.34,0.0,229
1126,20191114_174147_stuffed red pepper.jpg,stuffed red pepper,20191114_174147_stuffed red pepper.txt,104,6.08,2.13,1.33,0.28,0.0,10.68,4.87,2.29,0.18,2.32,0.57,0.0,250
1127,20190223_150425_teriyaki green beans v1.jpg,teriyaki green beans v1,20190223_150425_teriyaki green beans v1.txt,57,0.44,0.09,0.0,0.0,0.0,9.22,7.84,3.69,0.45,2.02,0.76,0.0,91
1128,20190803_161041_smokey chicken w tomato and radish salad 2.jpg,smokey chicken w tomato and radish salad 2,20190803_161041_smokey chicken w tomato and radish salad 2.txt,100,4.83,1.27,1.71,0.95,0.01,5.35,3.18,1.0,0.4,8.77,0.27,0.0,500
1129,20200311_155939_stirfry topped w crispy monkfish.jpg,stirfry topped w crispy monkfish,20200311_155939_stirfry topped w crispy monkfish.txt,108,4.72,0.44,0.13,0.21,0.15,10.08,5.77,1.88,0.19,5.51,0.52,0.0,350
1130,20200301_192737_seared salmon & tomatoes.jpg,seared salmon & tomatoes,20200301_192737_seared salmon & tomatoes.txt,133,5.31,1.1,1.54,1.29,0.0,0.61,0.41,0.19,0.0,20.65,0.19,0.0,254
1131,20190801_150805_steamed cavolo and cabbage.jpg,steamed cavolo and cabbage,20190801_150805_steamed cavolo and cabbage.txt,32,0.73,0.07,0.0,0.0,0.0,3.08,3.06,1.92,0.0,2.51,0.0,0.0,135
1132,20170912_130507_apple mint humous.jpg,apple mint humous,20170912_130507_apple mint humous.txt,209,11.13,1.25,1.86,0.54,0.0,17.68,3.15,6.4,13.55,7.25,1.24,0.0,0
1133,20190901_112252_post swim breakfast 20190901.jpg,post swim breakfast 20190901,20190901_112252_post swim breakfast 20190901.txt,61,0.36,1.1,0.42,0.08,0.0,6.69,5.13,0.98,0.25,6.14,0.6,0.0,330
1134,20210402_102316_mixed salad w mini beef kofte.jpg,mixed salad w mini beef kofte,20210402_102316_mixed salad w mini beef kofte.txt,87,4.69,1.34,1.52,0.54,0.01,5.7,4.16,0.78,0.02,6.16,0.51,0.0,417
1135,20190215_181651_wakame.jpg,wakame,20190215_181651_wakame.txt,45.0,0.6,0.1,0.1,0.2,0.0,9.1,0.7,0.5,0,3.0,2.3,0,0
1136,20190312_225037_melon and potato salad w treat smorgasbord.jpg,melon and potato salad w treat smorgasbord,20190312_225037_melon and potato salad w treat smorgasbord.txt,124,6.6,1.56,1.62,0.42,4.1,12.34,5.51,1.03,2.3,4.62,0.61,0.0,348
1137,20210613_223538_ribs ham & salmon.jpg,ribs ham & salmon,20210613_223538_ribs ham & salmon.txt,283,16.85,7.4,3.37,0.86,2.38,11.8,0.65,1.1,3.88,20.85,2.07,0.0,146
1138,20210415_131510_chicken salad & egg maki.jpg,chicken salad & egg maki,20210415_131510_chicken salad & egg maki.txt,115,6.55,1.34,1.21,0.67,0.01,3.66,2.34,1.47,0.0,10.38,0.71,0.0,25
1139,20200705_173006_garlic flatbread hm dough v3.jpg,garlic flatbread hm dough v3,20200705_173006_garlic flatbread hm dough v3.txt,234,1.15,0.2,0.07,0.0,0.0,47.67,5.83,2.43,40.92,7.87,0.77,0.0,240
1140,20210512_212059_s&p ribs w prawns & squid.jpg,s&p ribs w prawns & squid,20210512_212059_s&p ribs w prawns & squid.txt,192,12.64,3.98,4.98,0.86,0.0,8.78,2.59,1.35,3.8,10.61,1.19,0.0,508
1141,20191129_140737_pork shoulder chop.jpg,pork shoulder chop,20191129_140737_pork shoulder chop.txt,267,16.9,6.0,6.7,3.3,0.0,0.6,0.4,0.8,0.0,27.8,0.3,0.0,150
1142,20190527_121423_mad beetroot couscous.jpg,mad beetroot couscous,20190527_121423_mad beetroot couscous.txt,123,3.49,1.12,0.71,0.7,0.0,19.45,8.15,2.21,0.04,4.31,0.63,0.0,1391
1143,20190727_121926_milano crisps.jpg,milano crisps,20190727_121926_milano crisps.txt,214,10.5,10.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,26.9,3.8,0.0,28
1144,20190606_130539_potato dumpling and spinach tortilla.jpg,potato dumpling and spinach tortilla,20190606_130539_potato dumpling and spinach tortilla.txt,122,6.03,1.88,1.48,0.79,0.0,10.05,2.9,1.64,0.39,7.0,0.24,0.0,91
1145,20190215_152239_fast beef gravy.jpg,fast beef gravy,20190215_152239_fast beef gravy.txt,30,0.5,0.27,0.05,0.09,0.0,5.1,0.5,0.52,3.3,1.19,1.43,0.0,0
1146,20190102_182840_seared tuna.jpg,seared tuna,20190102_182840_seared tuna.txt,157,1.98,0.4,1.07,0.36,0.0,0.0,0.0,0.0,0.0,32.56,0.51,0.0,153
1147,20200213_151512_garlic cheese & herb sauce.jpg,garlic cheese & herb sauce,20200213_151512_garlic cheese & herb sauce.txt,140,12.09,7.87,2.01,0.31,0.0,6.27,0.49,0.29,0.0,1.82,1.27,0.0,735
1148,20190528_175358_ssr prawn.jpg,ssr prawn,20190528_175358_ssr prawn.txt,119,1.17,0.16,0.3,0.36,0.0,20.04,2.9,0.75,0.27,6.54,0.94,0.0,12
1149,20190606_130844_cinnamon sugar.jpg,cinnamon sugar,20190606_130844_cinnamon sugar.txt,396,0.03,0.01,0.01,0.0,0.0,99.34,97.07,1.54,0.0,0.12,0.0,0.0,138
1150,20200214_164238_lsr template.jpg,lsr template,20200214_164238_lsr template.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,39
1151,20200518_103456_fishsticks & moussaka.jpg,fishsticks & moussaka,20200518_103456_fishsticks & moussaka.txt,90,4.38,1.59,1.37,0.23,0.01,7.97,4.69,1.33,0.76,4.76,0.58,0.0,280
1152,20210812_150319_baked squash & prunes.jpg,baked squash & prunes,20210812_150319_baked squash & prunes.txt,275,14.34,1.96,10.33,1.53,0.01,39.69,2.83,2.82,0.0,2.46,3.85,0.0,83
